City,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Visibility (km),Cloudiness (%),Weather,Description,Sunrise,Sunset,Fetched At,Heat Index,Comfort Level
Bengaluru,32.24,30.97,30.9,33.45,29,1007,6.71,113,6.0,20,Clouds,Few Clouds,06:03,18:32,2026-04-21 19:20:19,28.824248500000003,Warm
Mumbai,31.99,35.62,31.99,31.99,55,1007,6.17,320,4.5,4,Smoke,Smoke,06:17,18:57,2026-04-21 19:20:19,29.098057499999996,Warm
Delhi,34.05,32.22,34.05,34.05,22,1002,3.6,270,6.0,0,Clear,Clear Sky,05:49,18:49,2026-04-21 19:20:19,30.493223,Warm
Chennai,30.41,37.41,30.0,30.99,80,1007,6.17,150,6.0,20,Clouds,Few Clouds,05:52,18:22,2026-04-21 19:20:20,28.021720000000002,Warm
Kolkata,30.97,37.97,30.97,30.97,79,1003,7.2,150,4.0,20,Haze,Haze,05:11,17:58,2026-04-21 19:20:20,28.5615735,Warm
Hyderabad,31.23,30.53,28.73,31.23,35,1006,4.12,200,5.0,75,Haze,Haze,05:56,18:33,2026-04-21 19:20:21,27.9351275,Warm
Pune,34.52,41.52,34.52,34.67,99,1007,0.89,265,10.0,20,Clouds,Few Clouds,06:13,18:52,2026-04-21 19:20:21,32.514503500000004,Hot & Humid
Ahmedabad,36.02,33.3,36.02,36.02,11,1006,3.09,230,4.0,9,Smoke,Smoke,06:14,19:02,2026-04-21 19:20:22,32.241611500000005,Warm
Jaipur,35.62,33.29,35.62,35.62,16,1005,3.6,280,5.0,20,Haze,Haze,05:57,18:53,2026-04-21 19:20:22,31.942344,Warm
Lucknow,34.99,32.73,34.99,34.99,17,1002,3.09,300,4.0,0,Haze,Haze,05:36,18:32,2026-04-21 19:20:23,31.3324905,Warm
